name,service_type,address,phone,website,category,hours,google_maps_url
Drip Hydration - Mobile IV Therapy - Nashville,Mobile,,(615) 283-1641,https://driphydration.com/coverage-areas/nashville/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=website,IV therapy service,Hours,https://www.google.com/maps/place/Drip+Hydration+-+Mobile+IV+Therapy+-+Nashville/data=!4m7!3m6!1s0xa884e67d7e8823af:0xd8ed9e5940a7c5ab!8m2!3d36.0492214!4d-86.792655!16s%2Fg%2F11rzgrfgwj!19sChIJryOIfn3mhKgRq8WnQFme7dg
Vida-Flo Fifth + Broadway,In-Person,"5036 Broadway Suite PU-1A, Nashville, TN 37203",(615) 649-8212,http://govidaflo.com/broadway,Health spa,Hours,https://www.google.com/maps/place/Vida-Flo+Fifth+%2B+Broadway/data=!4m7!3m6!1s0x8864671adc3610e9:0x8cc362514dcaffc9!8m2!3d36.1607607!4d-86.7801526!16s%2Fg%2F11yv_93k5n!19sChIJ6RA23BpnZIgRyf_KTVFiw4w
Next Health in The Gulch - Nashville,In-Person,"616 8th Ave S, Nashville, TN 37203",(615) 562-3717,https://www.next-health.com/location/nashville,Medical spa,Hours,https://www.google.com/maps/place/Next+Health+in+The+Gulch+-+Nashville/data=!4m7!3m6!1s0x886467e90a109d19:0x710d0720f3a4b3dc!8m2!3d36.1511264!4d-86.7788031!16s%2Fg%2F11y6299gch!19sChIJGZ0QCulnZIgR3LOk8yAHDXE
Superhuman,In-Person,"301 14th Ave N #101, Nashville, TN 37203",(615) 553-8396,,Wellness center,Hours,https://www.google.com/maps/place/Superhuman/data=!4m7!3m6!1s0x8864676503593985:0x928a1c2c1c2bdf7a!8m2!3d36.159267!4d-86.7931784!16s%2Fg%2F11tc2nqpmm!19sChIJhTlZA2VnZIgRet8rHCwcipI
Vita Infusion and Wellness,In-Person,"1935 21st Ave S Suite 310 A, Nashville, TN 37212",(615) 928-2351,http://www.vitainfusiontn.com/,Medical spa,Hours,https://www.google.com/maps/place/Vita+Infusion+and+Wellness/data=!4m7!3m6!1s0x8864650c8ba319cb:0x55d7def7877193e6!8m2!3d36.133589!4d-86.8016727!16s%2Fg%2F11sq9c_79t!19sChIJyxmjiwxlZIgR5pNxh_fe11U
Relive Health Nashville,In-Person,"5300 Centennial Blvd Suite 104, Nashville, TN 37209",(615) 236-7451,https://relivehealth.com/west-nashville-tn/,Medical spa,Hours,https://www.google.com/maps/place/Relive+Health+Nashville/data=!4m7!3m6!1s0x8864610b4eb151ab:0x8f32d7e4e7ee299f!8m2!3d36.1643831!4d-86.8516694!16s%2Fg%2F11y6m6srrl!19sChIJq1GxTgthZIgRnynu5-TXMo8
Pause West Nashville,In-Person,"12 City Ave, Nashville, TN 37209",(629) 265-8241,https://pausestudio.com/westnashville,Wellness center,Hours,https://www.google.com/maps/place/Pause+West+Nashville/data=!4m7!3m6!1s0x88646743d5caa369:0xb88840aa27b817f7!8m2!3d36.1522154!4d-86.8207658!16s%2Fg%2F11y1949lm1!19sChIJaaPK1UNnZIgR9xe4J6pAiLg
The Pro2col,In-Person,"1323 6th Ave N, Nashville, TN 37208",(615) 530-1303,https://www.thepro2col.com/,Wellness center,Hours,https://www.google.com/maps/place/The+Pro2col/data=!4m7!3m6!1s0x886467b046f41859:0xacbfbace90b8c3c8!8m2!3d36.1775352!4d-86.7913998!16s%2Fg%2F11x_49_12t!19sChIJWRj0RrBnZIgRyMO4kM66v6w
Optimize U | Belle Meade,In-Person,"4326 Harding Pike #104, Nashville, TN 37205",(615) 490-6133,https://optimizeucenters.com/locations/belle-meade-tennessee/,Wellness center,Hours,https://www.google.com/maps/place/Optimize+U+%7C+Belle+Meade/data=!4m7!3m6!1s0x88646311c6846259:0x11b99e431bceb291!8m2!3d36.126266!4d-86.846103!16s%2Fg%2F11tk11vgm2!19sChIJWWKExhFjZIgRkbLOG0OeuRE
Contrast Club,In-Person,"2203 Bandywood Dr, Nashville, TN 37215",,https://contrastclubnashville.com/,Spa,Hours,https://www.google.com/maps/place/Contrast+Club/data=!4m7!3m6!1s0x886465eaf639cdb9:0x62c211b1f929c936!8m2!3d36.104381!4d-86.816664!16s%2Fg%2F11xkwjk2tj!19sChIJuc059uplZIgRNskp-bERwmI
The ABLE Clinic,In-Person,"1919 Charlotte Ave SUITE 310, Nashville, TN 37203",(629) 288-1231,http://www.theableclinic.com/,Medical office,Hours,https://www.google.com/maps/place/The+ABLE+Clinic/data=!4m7!3m6!1s0x886467e93dffeddd:0x7feff71796aaa8d8!8m2!3d36.1569006!4d-86.8028195!16s%2Fg%2F11nfy10x8v!19sChIJ3e3_PelnZIgR2Kiqlhf3738
Invigorate Health,In-Person,"Inside Rodney Mitchell Salon, 1810 Chet Atkins Pl, Nashville, TN 37203",(615) 288-4777,http://www.invigoratehealthtn.com/,Medical clinic,Hours,https://www.google.com/maps/place/Invigorate+Health/data=!4m7!3m6!1s0x886467dfceaeb927:0x3682ffe4f8890132!8m2!3d36.148844!4d-86.7955656!16s%2Fg%2F11s5txpfhk!19sChIJJ7muzt9nZIgRMgGJ-OT_gjY
Next Health in Green Hills,In-Person,"3710 Hillsboro Pike, Nashville, TN 37215",(615) 538-9272,https://www.next-health.com/location/green-hills-tn,Wellness center,Hours,https://www.google.com/maps/place/Next+Health+in+Green+Hills/data=!4m7!3m6!1s0x88646555abd63177:0x5152ff12118722c!8m2!3d36.1096394!4d-86.8110728!16s%2Fg%2F11ysnqyy4m!19sChIJdzHWq1VlZIgRLHIYIfEvFQU
MinuteClinic at CVS,In-Person,"426 21st Ave S, Nashville, TN 37203",(866) 389-2727,https://www.cvs.com/minuteclinic/clinic-locator/tn/nashville/7608.html?WT.mc_id=LS_mc_google_carenav_7608,Walk-in clinic,Hours,https://www.google.com/maps/place/MinuteClinic+at+CVS/data=!4m7!3m6!1s0x88646697757f46e9:0xf42638361e6ec1c1!8m2!3d36.145697!4d-86.799307!16s%2Fg%2F1tfzn1vz!19sChIJ6UZ_dZdmZIgRwcFuHjY4JvQ
TwelveStone Infusion Center Nashville (Skyline),In-Person,"TriStar Skyline Medical Ctr, 3443 Dickerson Pike # 380, Nashville, TN 37207",(615) 546-6561,https://www.12stonehealth.com/infusion-center/,Specialized clinic,Hours,https://www.google.com/maps/place/TwelveStone+Infusion+Center+Nashville+%28Skyline%29/data=!4m7!3m6!1s0x88645d61b43dfea7:0xf298e2006722ba3d!8m2!3d36.2449444!4d-86.7505888!16s%2Fg%2F11k4r5jswv!19sChIJp_49tGFdZIgRPboiZwDimPI
Elite Mobile IV - Nashville,Mobile,,(615) 552-0636,https://www.elitemobileiv.com/nashville,IV therapy service,Hours,https://www.google.com/maps/place/Elite+Mobile+IV+-+Nashville/data=!4m7!3m6!1s0xaf876f241c478ea3:0xdf82f9fb8f5b73fc!8m2!3d36.16736!4d-86.8183935!16s%2Fg%2F11w7f8d4_y!19sChIJo45HHCRvh68R_HNbj_v5gt8
Luxe Mobile IV - Nashville,Mobile,"159 4th Ave N suite 349, Nashville, TN 37219",(629) 205-6873,https://www.luxemobileiv.com/nashville/,,Open booking link,https://www.google.com/maps/place/Luxe+Mobile+IV+-+Nashville/data=!4m7!3m6!1s0x886467430f3e2ec3:0x2b2d08df469985b9!8m2!3d36.1631827!4d-86.7786799!16s%2Fg%2F11z477gws6!19sChIJwy4-D0NnZIgRuYWZRt8ILSs
Mobile IV Medics - Nashville Tennessee,Mobile,,(833) 483-7477,https://mobileivmedics.com/service-areas/tennessee/nashville/?utm_source=google&utm_medium=organic&utm_campaign=gmb_nashville,IV therapy service,Hours,https://www.google.com/maps/place/Mobile+IV+Medics+-+Nashville+Tennessee/data=!4m7!3m6!1s0x6091974c8ef30c8f:0x864ed52ace17f15d!8m2!3d36.16736!4d-86.998916!16s%2Fg%2F11jz4jcncd!19sChIJjwzzjkyXkWARXfEXzirVToY
IV 2 GO Mobile Hydration Therapy,Mobile,,(615) 216-4838,https://www.iv2go2.com/,IV therapy service,Hours,https://www.google.com/maps/place/IV+2+GO+Mobile+Hydration+Therapy/data=!4m7!3m6!1s0x308f2dc2d8ba0ab:0xe823d0605b121c0b!8m2!3d36.1866404!4d-86.785147!16s%2Fg%2F11vhcxjxrj!19sChIJq6CLLdzyCAMRCxwSW2DQI-g
Mobile IV Nurses,Mobile,,(629) 299-2979,https://mobileivnurses.com/areas-we-serve/tennessee/?utm_source=localfx&utm_medium=organic&utm_campaign=localfx&utm_content=tennessee,IV therapy service,Hours,https://www.google.com/maps/place/Mobile+IV+Nurses/data=!4m7!3m6!1s0x2cbe2dd0636590cd:0x7d4fa8b78b76d31e!8m2!3d36.0492214!4d-86.6899919!16s%2Fg%2F11w55hj47q!19sChIJzZBlY9AtviwRHtN2i7eoT30
61Five Health & Wellness - Mobile IV Service,Mobile,,(615) 521-0707,https://61five.com/mobile-iv-therapy-nashville/,IV therapy service,Hours,https://www.google.com/maps/place/61Five+Health+%26+Wellness+-+Mobile+IV+Service/data=!4m7!3m6!1s0x88e72c1e17eed4fd:0xe57cb8b0f76829a2!8m2!3d36.1160054!4d-86.785246!16s%2Fg%2F11vm8lp7jf!19sChIJ_dTuFx4s54gRoilo97C4fOU
Hangover Healthcare,Mobile,"915 Harpeth Valley Pl, Nashville, TN 37221",(629) 888-3256,https://hangoverhealthcare.com/,Medical clinic,Closed · Opens 9 AM Thu · See more hours,https://www.google.com/maps/place/Hangover+Healthcare/data=!4m7!3m6!1s0x886489128a132821:0xf2d5e05897b4e384!8m2!3d36.0835145!4d-86.9568545!16s%2Fg%2F11g2xqtjr2!19sChIJISgTihKJZIgRhOO0l1jg1fI
Optimize U - Brentwood | Hormone & Cryotherapy Clinic,Mobile,"7909 Concord Hills Dr Suite 105, Brentwood, TN 37027",(615) 270-6681,https://optimizeucenters.com/nashville/,Medical clinic,Hours,https://www.google.com/maps/place/Optimize+U+-+Brentwood+%7C+Hormone+%26+Cryotherapy+Clinic/data=!4m7!3m6!1s0x886471bae98d1147:0x5005d8190a7e8e4b!8m2!3d36.0007!4d-86.693434!16s%2Fg%2F11t8cbv52z!19sChIJRxGN6bpxZIgRS45-ChnYBVA
Nashville Concierge Medicines,Mobile,"1914 Charlotte Ave #102, Nashville, TN 37203",(731) 695-2532,https://nashvilleconciergemedicines.com/,Medical office,Hours,https://www.google.com/maps/place/Nashville+Concierge+Medicines/data=!4m7!3m6!1s0x8864632389009ccb:0xbfb14aad3a368a04!8m2!3d36.1573853!4d-86.803682!16s%2Fg%2F11h08lws68!19sChIJy5wAiSNjZIgRBIo2Oq1Ksb8
